,202,...2,...3,...4,codes,category,scheme,pre1,pre2,pre3,phrase,feature,subst,ar,regex,repl,regexcor,test
82,79,79,79,NA,#...#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
83,80,80,80,NA,#9..#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
84,81,81,81,63,9direct quote?@.,3,9,%,C,OM,cmnt,quote,%COM: cmnt quote,27,(9direct quote\?@\.),%#%,(9direct quote\?@\.),test3
85,82,82,82,NA,# unclear script#,3,1,%,C,OM,cmnt,script unclear,%COM: cmnt script unclear,28,(# unclear script#)|(#script unclear#),%#%,(# unclear script#)|(#script unclear#),test3
86,82,82,82,NA,#unclear script#,3,1,%,C,OM,cmnt,script unclear,%COM: cmnt script unclear,28,(# unclear script#)|(#script unclear#),%#%,(# unclear script#)|(#script unclear#),test3
87,82,82,82,NA,unclear script,3,1,%,C,OM,cmnt,script unclear,%COM: cmnt script unclear,28,(# unclear script#)|(#script unclear#),%#%,(# unclear script#)|(#script unclear#),test3
88,83,83,83,NA,#script unclear#,3,1,%,C,OM,cmnt,script unclear,%COM: cmnt script unclear,28,(# unclear script#)|(#script unclear#),%#%,(# unclear script#)|(#script unclear#),test3
89,84,84,84,NA,#self-correction#,3,1,%,C,OM,cmnt,self-correction,%COM: cmnt self-correction,29,(#self-correction#),%#%,(#self-correction#),test3
90,85,85,85,NA,#Kopfschuetteln#,3,1,%,C,OM,cmnt,shakes head,%COM: cmnt shakes head,30,(#Kopfschuetteln#),%#%,(#Kopfschuetteln#),test3
91,86,86,86,NA,#zeigt auf Besen#,3,1,%,C,OM,cmnt,showing,%COM: cmnt showing,31,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),%#%,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),test3
92,87,87,87,NA,#zeigt auf ihre Locken#,3,1,%,C,OM,cmnt,showing,%COM: cmnt showing,31,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),%#%,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),test3
93,88,88,88,NA,# zeigt #,3,1,%,C,OM,cmnt,showing,%COM: cmnt showing,31,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),%#%,(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #),test3
94,89,89,89,NA,# zeigt auf das Richtige#,3,1,%,C,OM,cmnt,showing correct,%COM: cmnt showing correct,32,(# zeigt auf das Richtige#),%#%,(# zeigt auf das Richtige#),test3
95,90,90,90,NA,#unklar#,3,1,%,C,OM,cmnt,unclear,%COM: cmnt unclear,33,(#unklar#),%#%,(#unklar#),test3
96,91,91,91,NA,#unclear script#,3,1,%,C,OM,cmnt,unclear script,%COM: cmnt unclear script,34,(#unclear script#),%#%,(#unclear script#),test3
97,92,92,92,104,9no pl/num.,2,9,%,0,PN,zero,plural/numeral,%0PN: zero plural/numeral,35,(9no pl/num\.)|(#9no pl/num#),%#%,(9no pl/num\.)|(#9no pl/num#),test3
98,93,93,93,NA,#9no pl/num#,2,1,%,0,PN,zero,plural/numeral,%0PN: zero plural/numeral,35,(9no pl/num\.)|(#9no pl/num#),%#%,(9no pl/num\.)|(#9no pl/num#),test3
99,94,94,94,NA,#9nst pro#,1,1,%,N,PO,nonstandard,pronoun,%NPO: nonstandard pronoun,36,(#9nst pro#),%#%,(#9nst pro#),test3
100,95,95,95,NA,90 prep#,2,9,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
101,96,96,96,107,90 prep,2,9,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
102,96,96,96,107,#90 prep,2,9,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
103,97,97,97,NA,#90 prep#,2,1,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
104,98,98,98,NA,#90 prep #,2,1,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
105,99,99,99,NA,#90 prep.#,2,1,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
106,99,99,99,NA,#90 prep#?,2,1,%,0,PR,zero,preposition,%0PR: zero preposition,37,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),%#%,(90 prep#)|(90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#),test3
107,100,100,100,NA,#9nst pers#,1,1,%,N,PE,nonstandard,person,%NPE: nonstandard person,38,(#9nst pers#),%#%,(#9nst pers#),test3
108,101,101,101,7,# 9nst prep#,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
109,102,102,102,18,# 9nst prep#,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
110,103,103,103,36,9nst prep,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
111,104,104,104,37,9nst prep,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
112,105,105,105,43,9nst prep,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
113,106,106,106,105,9nst prep?@.,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
114,107,107,107,106,9nst prep.,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
115,108,108,108,151,9nst prep,1,9,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
116,109,109,109,NA,#9nst prep#,1,1,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
117,110,110,110,NA,#9nst prep.#,1,1,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
118,111,111,111,NA,#9nst prep #,1,1,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
119,112,112,112,NA,# 9nst prep#,1,1,%,N,PR,nonstandard,preposition,%NPR: nonstandard preposition,39,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),%#%,(# 9nst prep#)|(# 9nst prep#)|(9nst prep)|(9nst prep)|(9nst prep)|(9nst prep\?@\.)|(9nst prep\.)|(9nst prep)|(#9nst prep#)|(#9nst prep\.#)|(#9nst prep #)|(# 9nst prep#),test3
120,113,113,113,NA,#9nst passive#,1,1,%,N,PS,nonstandard,passive,%NPS: nonstandard passive,40,(#9nst passive#)|(#9nst passive\?#),%#%,(#9nst passive#)|(#9nst passive\?#),test3
121,114,114,114,NA,#9nst passive?#,1,1,%,N,PS,nonstandard,passive,%NPS: nonstandard passive,40,(#9nst passive#)|(#9nst passive\?#),%#%,(#9nst passive#)|(#9nst passive\?#),test3
122,115,115,115,61,9nst poss.,1,9,%,N,PV,nonstandard,possessive,%NPV: nonstandard possessive,41,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),%#%,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),test3
123,116,116,116,66,9nst poss,1,9,%,N,PV,nonstandard,possessive,%NPV: nonstandard possessive,41,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),%#%,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),test3
124,117,117,117,NA,#9 nst poss#,1,1,%,N,PV,nonstandard,possessive,%NPV: nonstandard possessive,41,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),%#%,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),test3
125,118,118,118,NA,#9nst poss#,1,1,%,N,PV,nonstandard,possessive,%NPV: nonstandard possessive,41,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),%#%,(9nst poss\.)|(9nst poss)|(#9 nst poss#)|(#9nst poss#),test3
126,119,119,119,152,90 refl?@,2,9,%,0,RF,zero,reflexive,%0RF: zero reflexive,42,(90 refl\?@)|(#90 refl#),%#%,(90 refl\?@)|(#90 refl#),test3
127,120,120,120,NA,#90 refl#,2,1,%,0,RF,zero,reflexive,%0RF: zero reflexive,42,(90 refl\?@)|(#90 refl#),%#%,(90 refl\?@)|(#90 refl#),test3
128,121,121,121,NA,#90 rel#,2,1,%,0,RL,zero,relative,%0RL: zero relative,43,(#90 rel#),%#%,(#90 rel#),test3
129,122,122,122,10,9rel,1,9,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
130,123,123,123,34,9rel,1,9,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
131,124,124,124,114,9nst rel,1,9,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
132,125,125,125,NA,#9rel,1,1,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
133,126,126,126,NA,#9rel#,1,1,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
134,127,127,127,NA,#9nst rel#,1,1,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
135,128,128,128,NA,#9nst rel?#,1,1,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
136,129,129,129,NA,#9rel?#,1,1,%,N,RL,nonstandard,relative,%NRL: nonstandard relative,44,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),%#%,(9rel)|(9rel)|(9nst rel)|(#9rel)|(#9rel#)|(#9nst rel#)|(#9nst rel\?#)|(#9rel\?#),test3
137,130,130,130,125,9semantics,1,9,%,N,SM,nonstandard,semantics,%NSM: nonstandard semantics,45,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),%#%,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),test3
138,131,131,131,NA,#9semantics,1,1,%,N,SM,nonstandard,semantics,%NSM: nonstandard semantics,45,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),%#%,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),test3
139,132,132,132,NA,#9semantics#,1,1,%,N,SM,nonstandard,semantics,%NSM: nonstandard semantics,45,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),%#%,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),test3
140,133,133,133,NA,#9semantics of viel#,1,1,%,N,SM,nonstandard,semantics,%NSM: nonstandard semantics,45,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),%#%,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),test3
141,134,134,134,NA,#9semantics.#,1,1,%,N,SM,nonstandard,semantics,%NSM: nonstandard semantics,45,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),%#%,(9semantics)|(#9semantics)|(#9semantics#)|(#9semantics of viel#)|(#9semantics\.#),test3
142,135,135,135,56,90 subj.,2,9,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
143,136,136,136,64,9ck 0 subj.,2,9,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
144,137,137,137,84,90 subj,2,9,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
145,138,138,138,129,90 subj,2,9,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
146,139,139,139,138,90 subj,2,9,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
147,140,140,140,NA,#90 subj#,2,1,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
148,141,141,141,NA,#90 subj,2,1,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
149,142,142,142,NA,#90 sub#,2,1,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
150,143,143,143,NA,#9 0 subj#,2,1,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
151,144,144,144,NA,#90 subj.#,2,1,%,0,SU,zero,subject,%0SU: zero subject,46,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),%#%,(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#),test3
152,145,145,145,73,90 verb,2,9,%,0,VP,zero,VP,%0VP: zero VP,47,(90 verb)|(#90 verb#),%#%,(90 verb)|(#90 verb#),test3
153,146,146,146,NA,#90 verb#,2,1,%,0,VP,zero,VP,%0VP: zero VP,47,(90 verb)|(#90 verb#),%#%,(90 verb)|(#90 verb#),test3
154,147,147,147,NA,#9nst verb#,1,1,%,N,VP,nonstandard,VP,%NVP: nonstandard VP,48,(#9nst verb#),%#%,(#9nst verb#),test3
155,148,148,148,112,9nst w,1,9,%,N,WD,nonstandard,word,%NWD: nonstandard word,49,(9nst w),%#%,(9nst w),test3
156,149,149,149,81,9w o.,1,9,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
157,150,150,150,115,9w.o.,1,9,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
158,151,151,151,134,9nst w o,1,9,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
159,152,152,152,143,9nst w o,1,9,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
160,153,153,153,153,9nst w o,1,9,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
